,municipio,category,fsq_id,closed_bucket,distance,link,name,address,latitude,longitude
0,ajalvir,Park,4d3c6c5b84d46ea87dddfd5c,LikelyOpen,563.0,/v3/places/4d3c6c5b84d46ea87dddfd5c,Diverjungla,"Calle Segovia, 20 (Pol. Ind. Donada), 28864 Ajalvir Comunidad de Madrid",40.529921,-3.484341
1,ajalvir,Park,4f54f7bfe4b036244d02685b,VeryLikelyOpen,1724.0,/v3/places/4f54f7bfe4b036244d02685b,Parque Infantil,,40.543867,-3.464773
2,ajalvir,Park,7d4ef99ca2dd4789f032a90c,LikelyOpen,333.0,/v3/places/7d4ef99ca2dd4789f032a90c,Chiquitin,Ajalvir Madrid,40.531662,-3.482835
3,alamo-el,Park,53de1144498e8fd8d8cb3537,LikelyOpen,118.0,/v3/places/53de1144498e8fd8d8cb3537,Isla Perejil,28607 El Alamo Comunidad de Madrid,40.230993,-3.991942
4,alamo-el,Park,51a8f451498ecb8334de37df,LikelyOpen,582.0,/v3/places/51a8f451498ecb8334de37df,Parque de Madera,,40.234636,-3.995166
5,alcala-de-henares,Park,4d9dd4135c33a35de83d0aa1,VeryLikelyOpen,593.0,/v3/places/4d9dd4135c33a35de83d0aa1,Parque O'Donnell,"Calle de Luis de Astrana Marín, 8, 28807 Alcalá de Henares Comunidad de Madrid",40.485077,-3.370226
6,alcala-de-henares,Park,4e8cb283f790e886adb6b2d1,VeryLikelyOpen,326.0,/v3/places/4e8cb283f790e886adb6b2d1,Parque del Louisi,Alcalá de Henares Comunidad de Madrid,40.478976,-3.363647
7,alcala-de-henares,Park,6346c5fc0adbe04470eb1b9e,VeryLikelyOpen,392.0,/v3/places/6346c5fc0adbe04470eb1b9e,Parque Infantil,28801 Alcalá de Henares Comunidad de Madrid,40.479732,-3.368221
8,alcala-de-henares,Park,4e73992152b145ffbfa4b2d7,LikelyOpen,515.0,/v3/places/4e73992152b145ffbfa4b2d7,Parque Salvador de Madariaga,Alcalá de Henares Comunidad de Madrid,40.483588,-3.35885
9,alcala-de-henares,Park,4cdd7134d5495481a27047b2,LikelyOpen,518.0,/v3/places/4cdd7134d5495481a27047b2,Parque de Sementales,"Ronda Fiscal, 28804 Alcalá de Henares Comunidad de Madrid",40.477219,-3.363631
